date,wearer,slug,name
2017-01-06,norm,southpaw,Southpaw
2017-01-07,norm,in-soviet-russia-shirt-wears-you,"In Soviet Russia, shirt wears you"
2017-01-08,norm,the-ultraviolence-boys,The Ultraviolence Boys
2017-01-09,norm,easy-optimism,Easy optimism
2017-01-10,norm,petri-galaxy,Petri Galaxy
2017-01-11,norm,trevor-philips-enterprises,Trevor Philips Enterprises
2017-01-12,norm,explorer,Explorer
2017-01-13,norm,firewatch,Firewatch
2017-01-14,norm,portal-gun,Portal gun
2017-01-15,norm,london,London
2017-01-16,norm,kyle-the-octopus,Kyle the Octopus
2017-01-17,norm,a-sharp-betrayal,A sharp betrayal
2017-01-18,norm,become-an-obliviator,Become an obliviator!
2017-01-19,norm,lets-moon-em,Let's moon 'em
2017-01-20,norm,curse-your-sudden-but-inevitable-betrayal,"""Curse your sudden but inevitable betrayal"""
2017-01-21,norm,the-many-faces-of-wash,The many faces of Wash
2017-01-22,norm,kaylees-shiny-spaceship-repair,Kaylee's shiny spaceship repair
2017-01-23,norm,greetings-from-miranda,Greetings from Miranda
2017-01-24,norm,browncoat-club,Browncoat club
2017-01-25,norm,washasaurus,Washasaurus
2017-01-26,norm,inevitable-betrayal,Inevitable Betrayal
2017-01-27,norm,watch-how-i-soar,Watch how I soar
2017-01-28,norm,they-aim-to-misbehave,They aim to misbehave
2017-01-29,norm,serenity-valley,Serenity Valley
2017-01-30,norm,fruity-oaty-bar,Fruity oaty bar
2017-01-31,norm,mudders-milk,Mudder's Milk
2017-02-01,norm,blue-sun,Blue Sun
2017-02-02,norm,dead-fish,Dead Fish
2017-02-03,norm,tg-freight,TG Freight
2017-02-04,norm,vigilo-confido,Vigilo confido
2017-02-05,norm,mutare-ad-custodiam,Mutare ad custodiam
2017-02-06,norm,introverting-quiet-please,"Introverting… (Quiet, please.)"
2017-02-07,norm,firewatch,Firewatch
2017-02-08,norm,serverless-conference-london,Serverless conference London
2017-02-09,norm,shadow-moses-nuclear-facility,Shadow Moses Nuclear Facility
2017-02-10,norm,elements,Elements
2017-02-11,norm,in-the-zone,In the zone
2017-02-12,norm,foxhound-special-forces,FOXHOUND Special Forces
2017-02-13,norm,easy-optimism,Easy optimism
2017-02-14,norm,portal-gun,Portal gun
2017-02-15,norm,lone-pine-mall,Lone Pine Mall
2017-02-16,norm,space-lego,Space Lego
2017-02-17,norm,southpaw,Southpaw
2017-02-18,norm,a-sharp-betrayal,A sharp betrayal
2017-02-19,norm,lets-moon-em,Let's moon 'em
2017-02-20,norm,amity-island,Amity Island
2017-02-21,norm,blips-and-chitz,Blips and Chitz
2017-02-22,norm,afraid-of-your-own-shadow,Afraid of your own shadow
2017-02-23,norm,trevor-philips-enterprises,Trevor Philips Enterprises
2017-02-24,norm,thunder-king,Thunder-King
2017-02-25,norm,time-to-settle-this,Time to settle this
2017-02-26,norm,building-in-space,Building in Space
2017-02-27,norm,jessica,Jessica
2017-02-28,norm,fife-sic-alabama,Fife [sic] Alabama
2017-03-01,norm,lovelace-and-babbage,Lovelace and Babbage
2017-03-03,norm,mutare-ad-custodiam,Mutare ad custodiam
2017-03-04,norm,the-kestrel,The Kestrel
2017-03-05,norm,rainbow-worrier,Rainbow worrier
2017-03-06,norm,in-the-zone,In the zone
2017-03-07,norm,firewatch,Firewatch
2017-03-08,norm,court-symbol,Court symbol
2017-03-09,norm,making-friends,Making friends
2017-03-10,norm,ammu-nation,Ammu-nation
2017-03-11,norm,buffy-slayer-of-the-vampyres,"Buffy, slayer of the vampyres"
2017-03-12,norm,miss-scarlet-in-the-hall-with-a-revolver,"Miss Scarlet, in the hall with a revolver"
2017-03-13,norm,burger-shot,Burger Shot
2017-03-14,norm,the-overlook-hotel-complimentary-crayons,The Overlook Hotel complimentary crayons
2017-03-15,norm,explorer,Explorer
2017-03-16,norm,orbital-model-of-the-carbon-atom,Orbital model of the carbon atom
2017-03-17,norm,for-science,For Science!
2017-03-18,norm,mash-4077th,M*A*S*H 4077th
2017-03-19,norm,lego-ipod,Lego iPod
2017-03-20,norm,seahaven-island,Seahaven Island
2017-03-21,norm,vigilo-confido,Vigilo confido
2017-03-22,norm,southpaw,Southpaw
2017-03-23,norm,mutare-ad-custodiam,Mutare ad custodiam
2017-03-24,norm,in-the-zone,In the zone
